Species,Range
Raphus cucullatus,"Raphus cucullatus is known from numerous bones, specimen fragments, reports and paintings from Mauritius (Strickland and Melville 1848). It was last reported from an offshore islet by Iversen in 1662 (Cheke 1987), and although one analysis indicates that it is likely to have persisted until 1690 (Roberts and Solow 2004), it is generally considered that all references to ""dodos"" thereafter refer to Red Rail Aphanapteryx bonasia (Cheke 2006, Hume 2017)."
Pezophaps solitaria,"Pezophaps solitaria was endemic to Rodrigues, Mauritius, from where it is known from numerous historical accounts (Cheke 1987), with those of Leguat in 1708 providing particularly rich detail (Hachisuka 1953), and many bones (Cowles 1987)."
Corvus hawaiiensis,"Historically distributed on Hawai'i in the Hawaiian Islands (USA), where the last individuals were found in and around the Kona Forest Unit of Hakalau Forest National Wildlife Refuge. Bones of this or a closely related species have been found on Maui, indicating a wider distribution before Western contact (Banko et al. 2002, Banko 2009). Nesting by the last known wild birds was probably confined to higher elevations on Mauna Loa in South Kona (Faike 2006, Banko 2009)."
Alectroenas nitidissimus,"Alectroenas nitidissimus is known only from three skins (Cheke 1987) and a number of descriptions and paintings (Tuijn 1969, Cheke 1987), from Mauritius (Cowles 1987)."
Coua delalandei,"Coua delalandei is known from several specimens all collected from Île Sainte-Marie, Madagascar (Hume 2017), with the most recent from 1834 (Collar and Stuart 1985). It has been reported that the species formally occurred on the mainland, but there is no direct evidence to this effect (Hume 2017)."
Nannococcyx psix,Nannococcyx psix was described from St Helena (to UK) from a single fragment of a humerus (Hume 2017).
Laterallus podarces,Laterallus podarces was described from fossils by Wetmore (1963) from St Helena (to UK).
Aphanapteryx bonasia,"Aphanapteryx bonasia was endemic to Mauritius from where it is known from a number of travellers' accounts and illustrations (Cheke 1987), and from numerous bones (Cowles 1987)."
Erythromachus leguati,"Erythromachus leguati was restricted to Rodrigues, Mauritius (Cheke 1987). It is known from a number of bones (Cowles 1987), and from several travellers' reports, the last of which was that of Tafforet in 1726."
Dryolimnas augusti,Dryolimnas augusti was described from subfossil remains from Réunion (to France).
Mundia elpenor,"Mundia elpenor was endemic to Ascension Island (to UK) from where it is known from subfossil bones (Ashmole 1963), and Mundy's description and sketch from 1656 (Hume 2017)."
Zapornia astrictocarpus,Zapornia astrictocarpus is only known from subfossil bones from St Helena (to UK) (Hume 2017).
Porphyrio caerulescens,Porphyrio caerulescens was endemic to Réunion (to France).
Gallinula nesiotis,Gallinula nesiotis was endemic to Tristan da Cunha (to UK).
Fulica newtonii,"Fulica newtonii is known from numerous travellers' reports (Cheke 1987) and bones (Cowles 1987) from Réunion (to France), and Mauritius."
Pterodroma rupinarum,Pterodroma rupinarum was one of three petrel species known only from the fossil record of St Helena (to UK).
Bulweria bifax,Bulweria bifax is known only from subfossil remains from St Helena (to UK).
Threskiornis solitarius,Threskiornis solitarius is known from subfossil remains discovered on Réunion (to France) (Mourer-Chauviré and Moutou 1987).
Nycticorax duboisi,"Nycticorax duboisi was endemic to Réunion (to France), and is known only from an incomplete tibiotarsus collected by Bertrand Kervazo in the Grottes des Premiers Français in 1974. The specimens are deposited in the Muséum National d'Histoire Naturelle, Paris (Cowles 1994)."
Nycticorax mauritianus,"Nycticorax mauritianus was described from seven fossil bones (of which only a coracoid and a tarsometatarsus are available today), from Mauritius (Cowles 1987)."
Nycticorax megacephalus,"Nycticorax megacephalus is known from a number of subfossil bones (Cowles 1987), and from Leguat's (1708) and Tafforet's (1726) accounts, from Rodrigues, Mauritius."
Mascarenotus grucheti,Mascarenotus grucheti is only known from subfossil remains (Cowles 1987) found on Réunion (to France) (Mourer-Chauviré et al. 1994).
Mascarenotus murivorus,"Mascarenotus murivorus was described by a number of early travellers (with the last being Tafforet in 1726) as endemic to Rodrigues, Mauritius (Cheke 1987). The reports have been corroborated by the discovery of a number of bones (Cowles 1987), but the species has only recently been assigned to a genus (Mourer-Chauviré et al. 1994)."
Mascarenotus sauzieri,Mascarenotus sauzieri is only known from subfossil bones from Mauritius (Mourer-Chauviré et al. 1994).
Upupa antaios,Upupa antaios was endemic to St Helena (to UK) (Olson 1975).
Falco duboisi,"Falco duboisi is known only from subfossil bones collected by Bertrand Kervazo in the Grottes des Premiers Français on Réunion (to France) in 1974 (Cowles 1994). The specimens are deposited in the Muséum National d'Histoire Naturelle, Paris (Cowles 1994)."
Mascarinus mascarin,"Mascarinus mascarin was described by numerous early travellers to Réunion (to France), with several captive birds shipped to France in the late 18th century. There are also vague accounts that may relate to the species from Mauritius (Temple 1914) but there are no fossil remains to confirm these accounts."
Palaeornis wardi,"Psittacula wardi was endemic to Mahé and Silhouette, Seychelles, with a sight record from Praslin (Hume 2017)."
Alexandrinus exsul,"Alexandrinus exsul was endemic to forests on Rodrigues, Mauritius (Cheke 1987)."
Necropsar rodericanus,"Necropsar rodericanus is known only from bones from Rodrigues, Mauritius (Cowles 1987), which are presumably referable to the birds ""Testudophaga bicolor"" (Rothschild 1907) described by Tafforet from Ile du Mât in 1726."
Zosterops semiflavus,"This newly-recognised species was known with certainty only from Marianne Island, Seychelles, although it may also have occurred on Praslin, La Digue, Silhouette Island and Mahé (Hume 2017)."
Lophopsittacus bensoni,"Lophopsittacus bensoni was described from a lower mandible, palatine and tarsometatarsus found in caves near Port Louis, Mauritius (Holyoak 1973). There are also a number of reports of small grey parrots from Réunion which probably refer to this or a closely related species (Cheke 1987)."
Lophopsittacus mauritianus,Lophopsittacus mauritianus is known from numerous bones and travellers' reports and sketches from Mauritius (Cowles 1987).
Necropsittacus rodricanus,"Necropsittacus rodricanus is known from Rodrigues, Mauritius, from several early travellers' reports (Cheke 1987) and a number of subfossil bones (Cowles 1987)."
Nesillas aldabrana,"Nesillas aldabrana was endemic to Ile Malabar, Aldabra, Seychelles (Hambler et al. 1985). The species was only discovered in 1967 (Benson and Penny 1968), and the last records were in 1983 when it seemed only males remained (Hambler et al. 1985, Skerrett and Disley 2011)."
Fregilupus varius,Fregilupus varius was endemic to Réunion (to France).
